query_id,query_text,query_language,query_type,expected_files,chunk_id,document_id,title,issuer,jurisdiction,language,local_file_path,source_url,page_reference,section_reference,lexical_rank,semantic_rank,hybrid_rank,chunk_text,human_label,reviewer_note,publication_date,origin_query_ids
Q10,"Which industrial software, digital-twin, supply-chain, and smart-manufacturing capabilities does China plan to strengthen?",en,cross-language,phase2_5/cn_intelligent_manufacturing_14th_fyp_2021.pdf,25ab446c-c2ea-5626-8192-9adcf751c720,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 50,,4,,7,"practice or the same interest being infr inged, and is occur r ing concur rently ,
committ ed by the same operat or , in at least three Member States;
(62) ‘cr itical infrastr ucture’ means cr itical infrastr ucture as def ined in Ar ticle 2, point (4), of Directive (EU) 2022/2557;
(63) ‘g eneral-pur pose AI model’ means an AI model, including where suc h an AI model is trained with a larg e amount of
data using self-super vision at scale, that displa ys significant g enerality and is capable of compet ently perfo r ming
a wide rang e of distinct tasks regardless of the wa y the model is placed on the market and that can be integrat ed into
a var iety of do wnstream systems or applications, ex cept AI models that are used f or research, development or
prot otyping activities bef ore the y are placed on the mark et ;
(64) ‘high-imp act capabilities ’ means capabilities that matc h or ex ceed the capabilities recorded in the most advanced
g eneral-pur pose AI models;
(65) ‘syst emic r isk’ means a r isk that is specif ic to the high-im pact capabilities of g eneral-pur pose AI models, having",1,部分相关：定义GPAI模型及其大规模数据训练特征，帮助界定监管对象，但不直接规定训练数据合规义务。,2024-06-13,Q10
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,40734300-f686-5c76-b64f-928d91e8f077,7bfce756-cb53-55d0-bb79-5aa128f1a796,生成式人工智能服务管理暂行办法,国家互联网信息办公室等七部门,CN,zh,phase2_5\cn_genai_interim_measures_2023.html,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,2,1,1,"生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室
设为首页
加入收藏
手机版
繁体
搜索
首 页
时政要闻
网信政务
互动服务
热点专题
当前位置：
首页
>
正文
首页
时政要闻
网信政务
互动服务
热点专题
生成式人工智能服务管理暂行办法
2023年07月13日 15:00
来源：
 中国网信网
【打印】
【纠错】
国家互联网信息办公室
中华人民共和国国家发展和改革委员会
中华人民共和国教育部
中华人民共和国科学技术部
中华人民共和国工业和信息化部
中华人民共和国公安部
国家广播电视总局
令
第15号
《生成式人工智能服务管理暂行办法》已经2023年5月23日国家互联网信息办公室2023年第12次室务会会议审议通过，并经国家发展和改革委员会、教育部、科学技术部、工业和信息化部、公安部、国家广播电视总局同意，现予公布，自2023年8月15日起施行。
国家互联网信息办公室主任 庄荣文
国家发展和改革委员会主任 郑栅洁
教育部部长 怀进鹏
科学技术部部长 王志刚
工业和信息化部部长 金壮龙
公安部部长 王小洪
国家广播电视总局局长 曹淑敏
2023年7月10日
生成式人工智能服务管理暂行办法
第一章 总　则
第一条
为了促进生成式人工智能健康发展和规范应用，维护国家安全和社会公共利益，保护公民、法人和其他组织的合法权益，根据《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》、《中华人民共和国科学技术进步法》等法律、行政法规，制定本办法。
第二条
利用生成式人工智能技术向中华人民共和国境内公众提供生成文本、图片、音频、视频等内容的服务（以下称生成式人工智能服务），适用本办法。
国家对利用生成式人工智能服务从事新闻出版、影视制作、文艺创作等活动另有规定的，从其规定。
行业组织、企业、教育和科研机构、公共文化机构、有关专业机构等研发、应用生成式人工智能技术，未向境内公众提供生成式人工智能服务的，不适用本办法的规定。
第三条
国家坚持发展和安全并重、促进创新和依法治理相结合的原则，采取有效措施鼓励生成式人工智能创新发展，对生成式人工智能服务实行包容审慎和分类分级监管。
第四条
提供和使用生成式人工智能服务，应当遵守法律、行政法规，尊重社会公德和伦理道德，遵守以下规定：
（一）坚持社会主义核心价值观，不得生成煽动颠覆国家政权、推翻社会主义制度，危害国家安全和利益、损害国家形象，煽动分裂国家、破坏国家统一和社会稳定，宣扬恐怖主义、极端主义，宣扬民族仇恨、民族歧视，暴力、淫秽色情，以及虚假有害信息等法律、行政法规禁止的内容；
（二）在算法设计、训练数据选择、模型生成和优化、提供服务等过程中，采取有效措施防止产生民族、信仰、国别、地域、性别、年龄、职业、健康等歧视；",1,部分相关：包含训练数据选择的反歧视要求及法规适用范围，但核心训练数据治理条款在其他chunk中更完整。,2023-07-10,Q01|Q07|Q11
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,4dfcc3ce-718b-5f6e-90be-5ebd8b0dfe4d,1415b941-a535-5833-80b4-f682dcc95158,网络数据安全管理条例,中华人民共和国国务院,CN,zh,phase2_5\cn_network_data_security_regulation_2024.html,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html,,网络数据安全管理条例,8,,9,"的同意；
（四）不得超出个人同意的个人信息处理目的、方式、种类、保存期限处理个人信息；
（五）不得在个人明确表示不同意处理其个人信息后，频繁征求同意；
（六）个人信息的处理目的、方式、种类发生变更的，应当重新取得个人同意。
法律、行政法规规定处理敏感个人信息应当取得书面同意的，从其规定。
第二十三条
个人请求查阅、复制、更正、补充、删除、限制处理其个人信息，或者个人注销账号、撤回同意的，网络数据处理者应当及时受理，并提供便捷的支持个人行使权利的方法和途径，不得设置不合理条件限制个人的合理请求。
第二十四条
因使用自动化采集技术等无法避免采集到非必要个人信息或者未依法取得个人同意的个人信息，以及个人注销账号的，网络数据处理者应当删除个人信息或者进行匿名化处理。法律、行政法规规定的保存期限未届满，或者删除、匿名化处理个人信息从技术上难以实现的，网络数据处理者应当停止除存储和采取必要的安全保护措施之外的处理。
第二十五条
对符合下列条件的个人信息转移请求，网络数据处理者应当为个人指定的其他网络数据处理者访问、获取有关个人信息提供途径：
（一）能够验证请求人的真实身份；
（二）请求转移的是本人同意提供的或者基于合同收集的个人信息；
（三）转移个人信息具备技术可行性；
（四）转移个人信息不损害他人合法权益。
请求转移个人信息次数等明显超出合理范围的，网络数据处理者可以根据转移个人信息的成本收取必要费用。
第二十六条
中华人民共和国境外网络数据处理者处理境内自然人个人信息，依照《中华人民共和国个人信息保护法》第五十三条规定在境内设立专门机构或者指定代表的，应当将有关机构的名称或者代表的姓名、联系方式等报送所在地设区的市级网信部门；网信部门应当及时通报同级有关主管部门。
第二十七条
网络数据处理者应当定期自行或者委托专业机构对其处理个人信息遵守法律、行政法规的情况进行合规审计。
第二十八条
网络数据处理者处理1000万人以上个人信息的，还应当遵守本条例第三十条、第三十二条对处理重要数据的网络数据处理者（以下简称重要数据的处理者）作出的规定。
第四章　重要数据安全
第二十九条
国家数据安全工作协调机制统筹协调有关部门制定重要数据目录，加强对重要数据的保护。各地区、各部门应当按照数据分类分级保护制度，确定本地区、本部门以及相关行业、领域的重要数据具体目录，对列入目录的网络数据进行重点保护。
网络数据处理者应当按照国家有关规定识别、申报重要数据。对确认为重要数据的，相关地区、部门应当及时向网络数据处理者告知或者公开发布。网络数据处理者应当履行网络数据安全保护责任。
国家鼓励网络数据处理者使用数据标签标识等技术和产品，提高重要数据安全管理水平。
第三十条
重要数据的处理者应当明确网络数据安全负责人和网络数据安全管理机构。网络数据安全管理机构应当履行下列网络数据安全保护责任：",1,部分相关：个人信息同意、删除/匿名化和合规审计可约束含个人信息的训练数据，但不是生成式AI专门规则。,2024-09-24,Q01|Q03|Q11
Q03,在境外处理中国境内自然人个人信息，哪些情况下《网络数据安全管理条例》适用？,zh,direct,phase2_5/cn_network_data_security_regulation_2024.html,51b4d749-6af7-589a-8e2d-d3cfdc83573e,1415b941-a535-5833-80b4-f682dcc95158,网络数据安全管理条例,中华人民共和国国务院,CN,zh,phase2_5\cn_network_data_security_regulation_2024.html,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html,,网络数据安全管理条例,4,8,5,"门应当及时向网络数据处理者告知或者公开发布。网络数据处理者应当履行网络数据安全保护责任。
国家鼓励网络数据处理者使用数据标签标识等技术和产品，提高重要数据安全管理水平。
第三十条
重要数据的处理者应当明确网络数据安全负责人和网络数据安全管理机构。网络数据安全管理机构应当履行下列网络数据安全保护责任：
（一）制定实施网络数据安全管理制度、操作规程和网络数据安全事件应急预案；
（二）定期组织开展网络数据安全风险监测、风险评估、应急演练、宣传教育培训等活动，及时处置网络数据安全风险和事件；
（三）受理并处理网络数据安全投诉、举报。
网络数据安全负责人应当具备网络数据安全专业知识和相关管理工作经历，由网络数据处理者管理层成员担任，有权直接向有关主管部门报告网络数据安全情况。
掌握有关主管部门规定的特定种类、规模的重要数据的网络数据处理者，应当对网络数据安全负责人和关键岗位的人员进行安全背景审查，加强相关人员培训。审查时，可以申请公安机关、国家安全机关协助。
第三十一条
重要数据的处理者提供、委托处理、共同处理重要数据前，应当进行风险评估，但是属于履行法定职责或者法定义务的除外。
风险评估应当重点评估下列内容：
（一）提供、委托处理、共同处理网络数据，以及网络数据接收方处理网络数据的目的、方式、范围等是否合法、正当、必要；
（二）提供、委托处理、共同处理的网络数据遭到篡改、破坏、泄露或者非法获取、非法利用的风险，以及对国家安全、公共利益或者个人、组织合法权益带来的风险；
（三）网络数据接收方的诚信、守法等情况；
（四）与网络数据接收方订立或者拟订立的相关合同中关于网络数据安全的要求能否有效约束网络数据接收方履行网络数据安全保护义务；
（五）采取或者拟采取的技术和管理措施等能否有效防范网络数据遭到篡改、破坏、泄露或者非法获取、非法利用等风险；
（六）有关主管部门规定的其他评估内容。
第三十二条
重要数据的处理者因合并、分立、解散、破产等可能影响重要数据安全的，应当采取措施保障网络数据安全，并向省级以上有关主管部门报告重要数据处置方案、接收方的名称或者姓名和联系方式等；主管部门不明确的，应当向省级以上数据安全工作协调机制报告。
第三十三条
重要数据的处理者应当每年度对其网络数据处理活动开展风险评估，并向省级以上有关主管部门报送风险评估报告，有关主管部门应当及时通报同级网信部门、公安机关。
风险评估报告应当包括下列内容：
（一）网络数据处理者基本信息、网络数据安全管理机构信息、网络数据安全负责人姓名和联系方式等；
（二）处理重要数据的目的、种类、数量、方式、范围、存储期限、存储地点等，开展网络数据处理活动的情况，不包括网络数据内容本身；
（三）网络数据安全管理制度及实施情况，加密、备份、标签标识、访问控制、安全认证等技术措施和其他必要措施及其有效性；",1,部分相关：重要数据的风险评估和报告义务仅在训练数据构成重要数据时才直接关联本课题。,2024-09-24,Q03
Q15,"What transparency, technical-documentation, and copyright-policy duties apply to providers of general-purpose AI models under the EU AI Act?",en,direct,phase2_5/eu_ai_act_2024_en.pdf,647baac6-8032-5b23-9ef3-8e8664d17ed9,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 24,,,6,,"ed, and should provide
b y wr itt en agreement this provid er with the necessar y inf or mation, capabilities, tec hnical access and other assistance
based on the generally ackno wledged stat e of the ar t, in order to enable the provid er to fully comply with the
oblig ations set out in this Regulation, without com promising their ow n intellect ual proper ty r ights or trade secrets.
(89) Third par ties making accessible to the public too ls, ser vices, processes, or AI comp onents other than
g eneral-pur pose AI models, should not be mandat ed to comp ly with requirements targ eting the responsibilities
along the AI value ch ain, in par ticular to wards the provid er that has used or integrat ed them, when those t ools,
ser vices, processes, or AI comp onents are made accessible under a free and open-source licence. Developers of free
and open-source tools, ser vices, processes, or AI comp onents other than g eneral-pur pose AI models should be
encourag ed t o im plement widely adop ted documentation practices, suc h as model cards and data sheets, as a wa y to",1,部分相关：涉及AI价值链中的信息提供、模型卡和数据表等文档实践，但不是训练数据合规的直接义务。,2024-06-13,Q15
Q15,"What transparency, technical-documentation, and copyright-policy duties apply to providers of general-purpose AI models under the EU AI Act?",en,direct,phase2_5/eu_ai_act_2024_en.pdf,6adb624e-b344-5329-891f-6c1b64b75101,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 85,,,3,5,"conf or mity t o the exte nt
that those standards cover those obliga tions. Providers of g eneral-pur pose AI models who do not adhere to an approved
code of practice or do not comply with a European har monised standard shall demonstrate alt er native adequat e means of
complia nce f or assessment by the Commission.
5. For the pur pose of facilitating compliance with Annex XI, in par ticular points 2 (d) and (e) thereof, the Commission is
emp owered to adop t deleg ated acts in accordance with Ar ticle 97 to detail measurement and calculation methodologies
with a view to allowing f or comp arable and ver ifi able documentation.
6. The Commission is empo wered to adop t deleg ated acts in accordance with Ar ticle 97(2) to amend Annexes XI and XII
in light of ev olving t echnological developments.
7. Any inf or mation or documentation obtained pursuant to this Ar ticle, including trade secrets, shall be treate d in
accordance with the conf identiality obliga tions set out in Ar ticle 78.
Ar ticle 54
Author ised represent ativ es of pro viders of general-pur pose AI models",1,部分相关：涉及Annex XI文档合规和替代合规方式，但没有直接列出训练数据来源或内容披露要求。,2024-06-13,Q15
Q15,"What transparency, technical-documentation, and copyright-policy duties apply to providers of general-purpose AI models under the EU AI Act?",en,direct,phase2_5/eu_ai_act_2024_en.pdf,75afad1a-2bf1-5a52-9fb1-a66f3aea2e62,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 85,,,2,4,"2. The obliga tions set out in paragraph 1, points (a) and (b), shall not apply to providers of AI models that are released
under a free and open-source licence that allo ws f or the access, usage , modif ication, and distr ibution of the model, and
whose paramet ers, including the weights, the inf or mation on the model archit ecture, and the inf or mation on model usage,
are made publicly available . This ex ception shall not apply to g eneral-pur pose AI models with systemic r isks .
3. Providers of g eneral-pur pose AI models shall cooperate as necessar y with the Commission and the national
compet ent author ities in the ex ercise of their comp etences and powers pursuant to this Regulation.
4. Providers of g eneral-pur pose AI models ma y rely on codes of practice within the meaning of Ar ticle 56 to
demonstrate complia nce with the obliga tions set out in paragraph 1 of this Ar ticle, until a har monised standard is
published. Compliance with European har monised standards grants providers the presump tion of conf or mity t o the exte nt
that those standards cover those obliga tions. Providers of g eneral-pur pose AI models who do not adhere to an approved",1,部分相关：规定开源GPAI对部分第53条文档义务的例外范围，是透明度义务边界信息。,2024-06-13,Q15|Q21
Q03,在境外处理中国境内自然人个人信息，哪些情况下《网络数据安全管理条例》适用？,zh,direct,phase2_5/cn_network_data_security_regulation_2024.html,80d93810-79cd-5685-b12b-152d0197225b,1415b941-a535-5833-80b4-f682dcc95158,网络数据安全管理条例,中华人民共和国国务院,CN,zh,phase2_5\cn_network_data_security_regulation_2024.html,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html,,网络数据安全管理条例,7,6,7,"安全等级保护的基础上，加强网络数据安全防护，建立健全网络数据安全管理制度，采取加密、备份、访问控制、安全认证等技术措施和其他必要措施，保护网络数据免遭篡改、破坏、泄露或者非法获取、非法利用，处置网络数据安全事件，防范针对和利用网络数据实施的违法犯罪活动，并对所处理网络数据的安全承担主体责任。
第十条
网络数据处理者提供的网络产品、服务应当符合相关国家标准的强制性要求；发现网络产品、服务存在安全缺陷、漏洞等风险时，应当立即采取补救措施，按照规定及时告知用户并向有关主管部门报告；涉及危害国家安全、公共利益的，网络数据处理者还应当在24小时内向有关主管部门报告。
第十一条
网络数据处理者应当建立健全网络数据安全事件应急预案，发生网络数据安全事件时，应当立即启动预案，采取措施防止危害扩大，消除安全隐患，并按照规定向有关主管部门报告。
网络数据安全事件对个人、组织合法权益造成危害的，网络数据处理者应当及时将安全事件和风险情况、危害后果、已经采取的补救措施等，以电话、短信、即时通信工具、电子邮件或者公告等方式通知利害关系人；法律、行政法规规定可以不通知的，从其规定。网络数据处理者在处置网络数据安全事件过程中发现涉嫌违法犯罪线索的，应当按照规定向公安机关、国家安全机关报案，并配合开展侦查、调查和处置工作。
第十二条
网络数据处理者向其他网络数据处理者提供、委托处理个人信息和重要数据的，应当通过合同等与网络数据接收方约定处理目的、方式、范围以及安全保护义务等，并对网络数据接收方履行义务的情况进行监督。向其他网络数据处理者提供、委托处理个人信息和重要数据的处理情况记录，应当至少保存3年。
网络数据接收方应当履行网络数据安全保护义务，并按照约定的目的、方式、范围等处理个人信息和重要数据。
两个以上的网络数据处理者共同决定个人信息和重要数据的处理目的和处理方式的，应当约定各自的权利和义务。
第十三条
网络数据处理者开展网络数据处理活动，影响或者可能影响国家安全的，应当按照国家有关规定进行国家安全审查。
第十四条
网络数据处理者因合并、分立、解散、破产等原因需要转移网络数据的，网络数据接收方应当继续履行网络数据安全保护义务。
第十五条
国家机关委托他人建设、运行、维护电子政务系统，存储、加工政务数据，应当按照国家有关规定经过严格的批准程序，明确受托方的网络数据处理权限、保护责任等，监督受托方履行网络数据安全保护义务。
第十六条
网络数据处理者为国家机关、关键信息基础设施运营者提供服务，或者参与其他公共基础设施、公共服务系统建设、运行、维护的，应当依照法律、法规的规定和合同约定履行网络数据安全保护义务，提供安全、稳定、持续的服务。
前款规定的网络数据处理者未经委托方同意，不得访问、获取、留存、使用、泄露或者向他人提供网络数据，不得对网络数据进行关联分析。
第十七条",1,部分相关：一般网络数据安全、委托处理与安全事件义务可构成训练数据处理的底层要求，但不是生成式AI专门规定。,2024-09-24,Q03|Q07
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,b8cf5439-dad1-5408-ae41-4f8aeeff9dc8,7bfce756-cb53-55d0-bb79-5aa128f1a796,生成式人工智能服务管理暂行办法,国家互联网信息办公室等七部门,CN,zh,phase2_5\cn_genai_interim_measures_2023.html,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,3,2,3,"提供者应当依法予以配合，按要求对训练数据来源、规模、类型、标注规则、算法机制机理等予以说明，并提供必要的技术、数据等支持和协助。
参与生成式人工智能服务安全评估和监督检查的相关机构和人员对在履行职责中知悉的国家秘密、商业秘密、个人隐私和个人信息应当依法予以保密，不得泄露或者非法向他人提供。
第二十条
对来源于中华人民共和国境外向境内提供生成式人工智能服务不符合法律、行政法规和本办法规定的，国家网信部门应当通知有关机构采取技术措施和其他必要措施予以处置。
第二十一条
提供者违反本办法规定的，由有关主管部门依照《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》、《中华人民共和国科学技术进步法》等法律、行政法规的规定予以处罚；法律、行政法规没有规定的，由有关主管部门依据职责予以警告、通报批评，责令限期改正；拒不改正或者情节严重的，责令暂停提供相关服务。
构成违反治安管理行为的，依法给予治安管理处罚；构成犯罪的，依法追究刑事责任。
第五章 附　则
第二十二条
本办法下列用语的含义是：
（一）生成式人工智能技术，是指具有文本、图片、音频、视频等内容生成能力的模型及相关技术。
（二）生成式人工智能服务提供者，是指利用生成式人工智能技术提供生成式人工智能服务（包括通过提供可编程接口等方式提供生成式人工智能服务）的组织、个人。
（三）生成式人工智能服务使用者，是指使用生成式人工智能服务生成内容的组织、个人。
第二十三条
法律、行政法规规定提供生成式人工智能服务应当取得相关行政许可的，提供者应当依法取得许可。
外商投资生成式人工智能服务，应当符合外商投资相关法律、行政法规的规定。
第二十四条
本办法自2023年8月15日起施行。
关闭
中央网络安全和信息化委员会办公室
中华人民共和国国家互联网信息办公室 © 版权所有
联系我们
承办：国家互联网应急中心　技术支持：长安通信科技有限责任公司
京ICP备14042428号
京公网安备11040102700108号
学习强国
◆
◆
微信
◆
◆
返回顶部
中央网络安全和信息化委员会办公室
中华人民共和国国家互联网信息办公室 © 版权所有
承办：国家互联网应急中心
技术支持：长安通信科技有限责任公司
京ICP备14042428号
京公网安备11040102700108号
PC版
Produced By CMS 网站群内容管理系统 publishdate:2024/01/05 23:10:47",1,部分相关且与核心证据重叠：重复训练数据说明义务，后续主要为执法、责任和附则。,2023-07-10,Q01
Q02,"When does China's interim generative AI regulation not apply to research, institutional use, or internal development?",en,cross-language,phase2_5/cn_genai_interim_measures_2023.html,cac7f839-f312-5fe4-9e99-be8f29caa6fa,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 22,,8,,,"ated by the AI syste m.
(76) Cybersecur ity pla ys a cr ucial role in ensur ing that AI syste ms are resilient aga inst attem pts to alt er their use,
behavi our , perf or mance or comp romise their secur ity proper ties by malicious third par ties exploiting the syste m’s
vulnerabilities. Cyberattacks ag ainst AI syste ms can leverage AI specific assets, suc h as training data sets (e.g. data
poisoning) or trained models (e.g. adversar ial attacks or membership inf erence), or exploit vulnerabilities in the AI
syste m’s digital assets or the underlying ICT infrastr ucture. T o ensure a level of cybersecur ity appropr iate t o the r isks ,
suitable measures, suc h as secur ity controls, should theref ore be take n by the provid ers of high-r isk AI systems, also
taking into account as appropr iate the underlying ICT infrastr ucture.
(77) Without prejudice to the requirements related to robustness and accuracy set out in this Regulation, high-r isk AI
syste ms which f all within the scope of a regulation of the European Parliament and of the Council on hor izontal
cybersecur ity requirements f or products with digital elements, in accordance with that regulation ma y demonstrate",1,部分相关：训练数据投毒属于训练数据安全邻近问题，但该段针对高风险AI系统网络安全，而非GPAI训练数据透明度。,2024-06-13,Q02|Q08
